site_name,visit_date,latitude,longitude,species,ba_m2ha,uid,datum,geometry,co_ef_nme,leaves,leaves_r2,twigs,bark,bark_r2,wood,wood_r2,branches,branches_r2,stems,stems_r2,agb,agb_r2,root,root_r2,tot_bm,c_leaves,c_twigs,c_bark,c_wood,c_branches,c_stems,c_agb,c_roots
NTAARP0001,20160602,-13.55729,132.2701,Acacia mimula,1.05,1,gda94,POINT (132.2701 -13.55729),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,97.65,101.85000000000001,397.95,1294.65,981.75,1692.6000000000001,2772.0,569.1
NTAARP0001,20160602,-13.55729,132.2701,Buchanania obovata,0.583333333333333,1,gda94,POINT (132.2701 -13.55729),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,54.24999999999997,56.58333333333331,221.08333333333323,719.2499999999997,545.4166666666664,940.3333333333328,1539.9999999999993,316.1666666666665
NTAARP0001,20160602,-13.55729,132.2701,Erythrophleum chlorostachys,2.16666666666667,1,gda94,POINT (132.2701 -13.55729),Erch,154.0,0.75,160.0,401.0,0.95,1044.0,0.92,814.0,0.62,1445.0,0.93,2413.0,0.82,542.0,0.57,2955.0,333.6666666666672,346.6666666666672,868.8333333333347,2262.0000000000036,1763.6666666666695,3130.833333333338,5228.166666666675,1174.333333333335
NTAARP0001,20160602,-13.55729,132.2701,Eucalyptus tetrodonta,14.8333333333333,1,gda94,POINT (132.2701 -13.55729),Eute,122.0,0.84,127.0,341.0,0.99,2161.0,0.93,799.0,0.85,2502.0,0.95,3403.0,0.97,542.0,0.57,3945.0,1809.6666666666626,1883.8333333333292,5058.166666666655,32054.833333333263,11851.833333333307,37112.99999999992,50477.83333333322,8039.666666666649
NTAARP0001,20160602,-13.55729,132.2701,Owenia vernicosa,0.2,1,gda94,POINT (132.2701 -13.55729),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,18.6,19.400000000000002,75.8,246.60000000000002,187.0,322.40000000000003,528.0,108.4
NTAARP0001,20160602,-13.55729,132.2701,Terminalia ferdinandiana,0.622222222222222,1,gda94,POINT (132.2701 -13.55729),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,57.866666666666646,60.35555555555553,235.82222222222214,767.1999999999997,581.7777777777776,1003.0222222222219,1642.666666666666,337.24444444444435
NTAARP0002,20160602,-13.54561,132.2944,Acacia mimula,0.894444444444444,2,gda94,POINT (132.2944 -13.54561),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,83.1833333333333,86.76111111111108,338.9944444444443,1102.8499999999995,836.3055555555552,1441.8444444444438,2361.333333333332,484.78888888888866
NTAARP0002,20160602,-13.54561,132.2944,Blepharocarya depauperata,0.75,2,gda94,POINT (132.2944 -13.54561),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,69.75,72.75,284.25,924.75,701.25,1209.0,1980.0,406.5
NTAARP0002,20160602,-13.54561,132.2944,Erythrophleum chlorostachys,1.66666666666667,2,gda94,POINT (132.2944 -13.54561),Erch,154.0,0.75,160.0,401.0,0.95,1044.0,0.92,814.0,0.62,1445.0,0.93,2413.0,0.82,542.0,0.57,2955.0,256.6666666666672,266.6666666666672,668.3333333333347,1740.0000000000036,1356.6666666666695,2408.333333333338,4021.6666666666747,903.3333333333352
NTAARP0002,20160602,-13.54561,132.2944,Eucalyptus tetrodonta,6.55555555555556,2,gda94,POINT (132.2944 -13.54561),Eute,122.0,0.84,127.0,341.0,0.99,2161.0,0.93,799.0,0.85,2502.0,0.95,3403.0,0.97,542.0,0.57,3945.0,799.7777777777783,832.5555555555561,2235.4444444444457,14166.555555555564,5237.888888888892,16402.00000000001,22308.55555555557,3553.1111111111136
NTAARP0002,20160602,-13.54561,132.2944,Gardenia megasperma,0.28,2,gda94,POINT (132.2944 -13.54561),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,26.040000000000003,27.160000000000004,106.12,345.24,261.8,451.36000000000007,739.2,151.76000000000002
NTAARP0002,20160602,-13.54561,132.2944,Grevillea pteridifolia,0.4,2,gda94,POINT (132.2944 -13.54561),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,37.2,38.800000000000004,151.6,493.20000000000005,374.0,644.8000000000001,1056.0,216.8
NTAARP0002,20160602,-13.54561,132.2944,Livistona humilis,3.375,2,gda94,POINT (132.2944 -13.54561),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,313.875,327.375,1279.125,4161.375,3155.625,5440.5,8910.0,1829.25
NTAARP0002,20160602,-13.54561,132.2944,Owenia vernicosa,3.0,2,gda94,POINT (132.2944 -13.54561),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,279.0,291.0,1137.0,3699.0,2805.0,4836.0,7920.0,1626.0
NTAARP0002,20160602,-13.54561,132.2944,Terminalia carpentariae,0.2,2,gda94,POINT (132.2944 -13.54561),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,18.6,19.400000000000002,75.8,246.60000000000002,187.0,322.40000000000003,528.0,108.4
NTAARP0003,20160603,-13.51697,132.4571,Buchanania obovata,0.75,3,gda94,POINT (132.4571 -13.51697),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,69.75,72.75,284.25,924.75,701.25,1209.0,1980.0,406.5
NTAARP0003,20160603,-13.51697,132.4571,Corymbia dichromophloia,1.7375,3,gda94,POINT (132.4571 -13.51697),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,161.5875,168.5375,658.5125,2142.3375,1624.5625,2800.85,4587.0,941.725
NTAARP0003,20160603,-13.51697,132.4571,Erythrophleum chlorostachys,0.916666666666667,3,gda94,POINT (132.4571 -13.51697),Erch,154.0,0.75,160.0,401.0,0.95,1044.0,0.92,814.0,0.62,1445.0,0.93,2413.0,0.82,542.0,0.57,2955.0,141.1666666666667,146.6666666666667,367.5833333333334,957.0000000000003,746.1666666666669,1324.5833333333337,2211.9166666666674,496.8333333333335
NTAARP0003,20160603,-13.51697,132.4571,Eucalyptus tetrodonta,3.8625,3,gda94,POINT (132.4571 -13.51697),Eute,122.0,0.84,127.0,341.0,0.99,2161.0,0.93,799.0,0.85,2502.0,0.95,3403.0,0.97,542.0,0.57,3945.0,471.22499999999997,490.53749999999997,1317.1125,8346.8625,3086.1375,9663.975,13144.0875,2093.475
NTAARP0003,20160603,-13.51697,132.4571,Eucalyptus tintinnans,2.5,3,gda94,POINT (132.4571 -13.51697),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,232.5,242.5,947.5,3082.5,2337.5,4030.0,6600.0,1355.0
NTAARP0003,20160603,-13.51697,132.4571,Livistona inermis,0.2,3,gda94,POINT (132.4571 -13.51697),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,18.6,19.400000000000002,75.8,246.60000000000002,187.0,322.40000000000003,528.0,108.4
NTAARP0003,20160603,-13.51697,132.4571,Owenia vernicosa,2.0,3,gda94,POINT (132.4571 -13.51697),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,186.0,194.0,758.0,2466.0,1870.0,3224.0,5280.0,1084.0
NTAARP0003,20160603,-13.51697,132.4571,Terminalia ferdinandiana,0.6,3,gda94,POINT (132.4571 -13.51697),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,55.8,58.199999999999996,227.4,739.8,561.0,967.1999999999999,1584.0,325.2
NTADAC0001,20130528,-13.15835,130.7779,Acacia aulacocarpa,2.0,4,gda94,POINT (130.7779 -13.15835),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,186.0,194.0,758.0,2466.0,1870.0,3224.0,5280.0,1084.0
NTADAC0001,20130528,-13.15835,130.7779,Erythrophleum chlorostachys,1.1,4,gda94,POINT (130.7779 -13.15835),Erch,154.0,0.75,160.0,401.0,0.95,1044.0,0.92,814.0,0.62,1445.0,0.93,2413.0,0.82,542.0,0.57,2955.0,169.4,176.0,441.1,1148.4,895.4000000000001,1589.5000000000002,2654.3,596.2
NTADAC0001,20130528,-13.15835,130.7779,Eucalyptus miniata,2.99444444444444,4,gda94,POINT (130.7779 -13.15835),Eumi,50.0,0.96,52.0,218.0,0.92,1829.0,0.95,375.0,0.79,2047.0,0.96,2472.0,0.96,542.0,0.57,3014.0,149.722222222222,155.71111111111088,652.7888888888879,5476.838888888881,1122.916666666665,6129.627777777769,7402.2666666666555,1622.9888888888865
NTADAC0001,20130528,-13.15835,130.7779,Eucalyptus tetrodonta,6.5,4,gda94,POINT (130.7779 -13.15835),Eute,122.0,0.84,127.0,341.0,0.99,2161.0,0.93,799.0,0.85,2502.0,0.95,3403.0,0.97,542.0,0.57,3945.0,793.0,825.5,2216.5,14046.5,5193.5,16263.0,22119.5,3523.0
NTADAC0001,20130528,-13.15835,130.7779,Livistona humilis,3.5,4,gda94,POINT (130.7779 -13.15835),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,325.5,339.5,1326.5,4315.5,3272.5,5642.0,9240.0,1897.0
NTADAC0002,20160506,-12.73922,132.3403,Erythrophleum chlorostachys,0.827777777777778,5,gda94,POINT (132.3403 -12.73922),Erch,154.0,0.75,160.0,401.0,0.95,1044.0,0.92,814.0,0.62,1445.0,0.93,2413.0,0.82,542.0,0.57,2955.0,127.4777777777778,132.44444444444446,331.938888888889,864.2000000000002,673.8111111111112,1196.1388888888891,1997.4277777777781,448.6555555555556
NTADAC0002,20160506,-12.73922,132.3403,Eucalyptus miniata,4.16666666666667,5,gda94,POINT (132.3403 -12.73922),Eumi,50.0,0.96,52.0,218.0,0.92,1829.0,0.95,375.0,0.79,2047.0,0.96,2472.0,0.96,542.0,0.57,3014.0,208.33333333333348,216.66666666666683,908.3333333333339,7620.8333333333385,1562.5000000000011,8529.166666666673,10300.000000000007,2258.333333333335
NTADAC0002,20160506,-12.73922,132.3403,Eucalyptus tetrodonta,5.0,5,gda94,POINT (132.3403 -12.73922),Eute,122.0,0.84,127.0,341.0,0.99,2161.0,0.93,799.0,0.85,2502.0,0.95,3403.0,0.97,542.0,0.57,3945.0,610.0,635.0,1705.0,10805.0,3995.0,12510.0,17015.0,2710.0
NTADAC0002,20160506,-12.73922,132.3403,Livistona humilis,4.75,5,gda94,POINT (132.3403 -12.73922),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,441.75,460.75,1800.25,5856.75,4441.25,7657.0,12540.0,2574.5
NTADAC0002,20160506,-12.73922,132.3403,Terminalia ferdinandiana,0.23,5,gda94,POINT (132.3403 -12.73922),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,21.39,22.310000000000002,87.17,283.59000000000003,215.05,370.76,607.2,124.66000000000001
NTAGFU0001,20120412,-18.90551,137.0693,Atalaya hemiglauca,0.25,6,gda94,POINT (137.0693 -18.90551),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,23.25,24.25,94.75,308.25,233.75,403.0,660.0,135.5
NTAGFU0001,20120412,-18.90551,137.0693,Corymbia terminalis,0.1,6,gda94,POINT (137.0693 -18.90551),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,9.3,9.700000000000001,37.9,123.30000000000001,93.5,161.20000000000002,264.0,54.2
NTAGFU0001,20120412,-18.90551,137.0693,Eucalyptus pruinosa,0.7375,6,gda94,POINT (137.0693 -18.90551),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,68.5875,71.53750000000001,279.5125,909.3375000000001,689.5625,1188.8500000000001,1947.0000000000002,399.725
NTAGFU0001,20120412,-18.90551,137.0693,Grevillea striata,0.1,6,gda94,POINT (137.0693 -18.90551),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,9.3,9.700000000000001,37.9,123.30000000000001,93.5,161.20000000000002,264.0,54.2
NTAGFU0002,20120413,-18.91812,137.0522,Eucalyptus leucophloia,0.9,7,gda94,POINT (137.0522 -18.91812),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,83.7,87.3,341.1,1109.7,841.5,1450.8,2376.0,487.8
NTAGFU0003,20120414,-18.63437,137.1244,Eucalyptus leucophloia,3.66111111111111,8,gda94,POINT (137.1244 -18.63437),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,340.48333333333323,355.1277777777777,1387.5611111111107,4514.149999999999,3423.138888888888,5901.71111111111,9665.33333333333,1984.3222222222216
NTAGFU0004,20120415,-18.62406,137.1235,No basal,0.0,9,gda94,POINT (137.1235 -18.62406),Nobsl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTAGFU0005,20120416,-18.65319,137.1211,Corymbia aspera,0.14,10,gda94,POINT (137.1211 -18.65319),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,13.020000000000001,13.580000000000002,53.06,172.62,130.9,225.68000000000004,369.6,75.88000000000001
NTAGFU0005,20120416,-18.65319,137.1211,Corymbia dichromophloia,0.5375,10,gda94,POINT (137.1211 -18.65319),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,49.9875,52.137499999999996,203.7125,662.7375,502.5625,866.4499999999999,1419.0,291.325
NTAGFU0005,20120416,-18.65319,137.1211,Corymbia polycarpa,0.32,10,gda94,POINT (137.1211 -18.65319),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,29.76,31.04,121.28,394.56,299.2,515.84,844.8000000000001,173.44
NTAGFU0005,20120416,-18.65319,137.1211,Eucalyptus camaldulensis subsp. obtusa,0.2,10,gda94,POINT (137.1211 -18.65319),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,18.6,19.400000000000002,75.8,246.60000000000002,187.0,322.40000000000003,528.0,108.4
NTAGFU0006,20120418,-18.77869,136.8471,No basal,0.0,11,gda94,POINT (136.8471 -18.77869),Nobsl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTAGFU0007,20120419,-18.77691,136.8262,No basal,0.0,12,gda94,POINT (136.8262 -18.77691),Nobsl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTAGFU0008,20120420,-18.78608,136.8653,No basal,0.0,13,gda94,POINT (136.8653 -18.78608),Nobsl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTAGFU0009,20120421,-18.80098,136.9834,Atalaya hemiglauca,0.1,14,gda94,POINT (136.9834 -18.80098),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,9.3,9.700000000000001,37.9,123.30000000000001,93.5,161.20000000000002,264.0,54.2
NTAGFU0009,20120421,-18.80098,136.9834,Eucalyptus camaldulensis subsp. obtusa,0.25,14,gda94,POINT (136.9834 -18.80098),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,23.25,24.25,94.75,308.25,233.75,403.0,660.0,135.5
NTAGFU0009,20120421,-18.80098,136.9834,Eucalyptus microtheca,1.05555555555556,14,gda94,POINT (136.9834 -18.80098),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,98.16666666666708,102.38888888888933,400.05555555555725,1301.5000000000055,986.9444444444487,1701.5555555555627,2786.6666666666783,572.1111111111136
NTAGFU0009,20120421,-18.80098,136.9834,Eucalyptus pruinosa,0.1,14,gda94,POINT (136.9834 -18.80098),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,9.3,9.700000000000001,37.9,123.30000000000001,93.5,161.20000000000002,264.0,54.2
NTAGFU0010,20120509,-17.89628,137.1006,Eucalyptus leucophloia,1.0,15,gda94,POINT (137.1006 -17.89628),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,93.0,97.0,379.0,1233.0,935.0,1612.0,2640.0,542.0
NTAGFU0011,20120510,-17.89571,137.0724,Bauhinia cunninghamii,0.2,16,gda94,POINT (137.0724 -17.89571),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,18.6,19.400000000000002,75.8,246.60000000000002,187.0,322.40000000000003,528.0,108.4
NTAGFU0011,20120510,-17.89571,137.0724,Eucalyptus leucophloia,0.3,16,gda94,POINT (137.0724 -17.89571),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,27.9,29.099999999999998,113.7,369.9,280.5,483.59999999999997,792.0,162.6
NTAGFU0011,20120510,-17.89571,137.0724,Eucalyptus pruinosa,0.5875,16,gda94,POINT (137.0724 -17.89571),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,54.6375,56.987500000000004,222.6625,724.3875,549.3125,947.0500000000001,1551.0,318.425
NTAGFU0011,20120510,-17.89571,137.0724,Grevillea parallela,0.566666666666667,16,gda94,POINT (137.0724 -17.89571),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,52.70000000000003,54.9666666666667,214.7666666666668,698.7000000000004,529.8333333333336,913.4666666666672,1496.000000000001,307.1333333333335
NTAGFU0011,20120510,-17.89571,137.0724,Hakea arborescens,0.1,16,gda94,POINT (137.0724 -17.89571),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,9.3,9.700000000000001,37.9,123.30000000000001,93.5,161.20000000000002,264.0,54.2
NTAGFU0011,20120510,-17.89571,137.0724,Terminalia canescens,0.21,16,gda94,POINT (137.0724 -17.89571),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,19.529999999999998,20.37,79.59,258.93,196.35,338.52,554.4,113.82
NTAGFU0012,20120511,-17.89564,137.019,Eucalyptus leucophloia,1.38888888888889,17,gda94,POINT (137.019 -17.89564),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,129.16666666666677,134.7222222222223,526.3888888888893,1712.5000000000014,1298.611111111112,2238.8888888888905,3666.6666666666692,752.7777777777784
NTAGFU0013,20120512,-17.89591,137.0116,Eucalyptus chlorophylla,0.3,18,gda94,POINT (137.0116 -17.89591),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,27.9,29.099999999999998,113.7,369.9,280.5,483.59999999999997,792.0,162.6
NTAGFU0013,20120512,-17.89591,137.0116,Eucalyptus leucophloia,0.1,18,gda94,POINT (137.0116 -17.89591),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,9.3,9.700000000000001,37.9,123.30000000000001,93.5,161.20000000000002,264.0,54.2
NTAGFU0013,20120512,-17.89591,137.0116,Grevillea striata,0.2,18,gda94,POINT (137.0116 -17.89591),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,18.6,19.400000000000002,75.8,246.60000000000002,187.0,322.40000000000003,528.0,108.4
NTAGFU0013,20120512,-17.89591,137.0116,Melaleuca stenostachya,1.12222222222222,18,gda94,POINT (137.0116 -17.89591),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,104.36666666666646,108.85555555555534,425.3222222222214,1383.6999999999973,1049.2777777777758,1809.0222222222187,2962.6666666666606,608.2444444444433
NTAGFU0013,20120512,-17.89591,137.0116,Terminalia volucris,0.1,18,gda94,POINT (137.0116 -17.89591),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,9.3,9.700000000000001,37.9,123.30000000000001,93.5,161.20000000000002,264.0,54.2
NTAGFU0014,20120514,-17.75179,136.9389,Eucalyptus microtheca,0.9,19,gda94,POINT (136.9389 -17.75179),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,83.7,87.3,341.1,1109.7,841.5,1450.8,2376.0,487.8
NTAGFU0014,20120514,-17.75179,136.9389,Melaleuca viridiflora,0.833333333333333,19,gda94,POINT (136.9389 -17.75179),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,77.49999999999997,80.8333333333333,315.8333333333332,1027.4999999999995,779.1666666666664,1343.3333333333328,2199.999999999999,451.6666666666665
NTAGFU0014,20120514,-17.75179,136.9389,Terminalia bursarina,0.283333333333333,19,gda94,POINT (136.9389 -17.75179),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,26.34999999999997,27.4833333333333,107.3833333333332,349.34999999999957,264.91666666666634,456.7333333333328,747.9999999999991,153.5666666666665
NTAGFU0015,20120514,-17.74446,136.943,Acacia,0.1,20,gda94,POINT (136.943 -17.74446),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,9.3,9.700000000000001,37.9,123.30000000000001,93.5,161.20000000000002,264.0,54.2
NTAGFU0015,20120514,-17.74446,136.943,Eucalyptus microtheca,0.15,20,gda94,POINT (136.943 -17.74446),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,13.95,14.549999999999999,56.85,184.95,140.25,241.79999999999998,396.0,81.3
NTAGFU0015,20120514,-17.74446,136.943,Eucalyptus pruinosa,0.8,20,gda94,POINT (136.943 -17.74446),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,74.4,77.60000000000001,303.2,986.4000000000001,748.0,1289.6000000000001,2112.0,433.6
NTAGFU0015,20120514,-17.74446,136.943,Melaleuca stenostachya,0.435,20,gda94,POINT (136.943 -17.74446),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,40.455,42.195,164.865,536.355,406.725,701.22,1148.4,235.77
NTAGFU0016,20120516,-17.22089,137.2603,Corymbia dichromophloia,0.2,21,gda94,POINT (137.2603 -17.22089),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,18.6,19.400000000000002,75.8,246.60000000000002,187.0,322.40000000000003,528.0,108.4
