uid,site,factor,count,avg_alive,avg_dead,avg_total,cor_av_liv,cor_av_ded,cor_av_tot
1,lit01,0.5,7.0,34.57142857142857,1.4285714285714286,36.0,17.285714285714285,0.7142857142857143,18.0
6,girra02,0.1,7.0,20.714285714285715,3.4285714285714284,24.142857142857142,2.0714285714285716,0.34285714285714286,2.4142857142857146
24,umb07,0.25,7.0,19.428571428571427,1.8571428571428572,21.285714285714285,4.857142857142857,0.4642857142857143,5.321428571428571
105,jdr01,0.75,7.0,23.285714285714285,0.14285714285714285,23.428571428571427,17.464285714285715,0.10714285714285714,17.57142857142857
106,jdr02,0.5,7.0,27.428571428571427,1.1428571428571428,28.571428571428573,13.714285714285714,0.5714285714285714,14.285714285714286
107,jdr03,0.25,7.0,33.714285714285715,0.8571428571428571,34.57142857142857,8.428571428571429,0.21428571428571427,8.642857142857142
108,jdr04,0.25,7.0,11.285714285714286,0.2857142857142857,11.571428571428571,2.8214285714285716,0.07142857142857142,2.892857142857143
109,jdr05,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
110,auv01,0.1,7.0,32.0,1.0,33.0,3.2,0.1,3.3000000000000003
111,auv02,0.1,7.0,22.857142857142858,1.0,23.857142857142858,2.285714285714286,0.1,2.3857142857142857
112,auv03,0.1,7.0,10.428571428571429,0.0,10.428571428571429,1.042857142857143,0.0,1.042857142857143
113,auv04,0.0,7.0,5.142857142857143,0.2857142857142857,5.428571428571429,0.0,0.0,0.0
114,auv05,0.1,7.0,0.5714285714285714,0.0,0.5714285714285714,0.05714285714285714,0.0,0.05714285714285714
115,auv06,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
116,auv07,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
117,auv08,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
118,auv09,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
119,nt001,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
120,nt002,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
121,nt003,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
122,nt004,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
123,site01,1.0,6.0,18.166666666666668,0.16666666666666666,18.333333333333332,18.166666666666668,0.16666666666666666,18.333333333333332
124,site02,0.5,6.0,26.0,1.0,27.0,13.0,0.5,13.5
125,site03,0.5,6.0,17.0,0.6666666666666666,17.666666666666668,8.5,0.3333333333333333,8.833333333333334
126,site04,1.0,6.0,9.5,0.0,9.5,9.5,0.0,9.5
127,site05,0.5,7.0,11.285714285714286,0.42857142857142855,11.714285714285714,5.642857142857143,0.21428571428571427,5.857142857142857
128,site06,0.5,7.0,15.857142857142858,0.42857142857142855,16.285714285714285,7.928571428571429,0.21428571428571427,8.142857142857142
129,site07,0.5,7.0,19.571428571428573,1.2857142857142858,20.857142857142858,9.785714285714286,0.6428571428571429,10.428571428571429
130,site08,0.5,6.0,25.666666666666668,1.1666666666666667,26.833333333333332,12.833333333333334,0.5833333333333334,13.416666666666666
131,site09,0.75,7.0,20.0,0.8571428571428571,20.857142857142858,15.0,0.6428571428571428,15.642857142857142
132,site10,1.0,7.0,21.0,0.42857142857142855,21.428571428571427,21.0,0.42857142857142855,21.428571428571427
133,site11,0.1,7.0,2.857142857142857,0.0,2.857142857142857,0.28571428571428575,0.0,0.28571428571428575
134,site12,1.0,7.0,20.571428571428573,1.5714285714285714,22.142857142857142,20.571428571428573,1.5714285714285714,22.142857142857142
135,site13,0.75,7.0,19.857142857142858,1.7142857142857142,21.571428571428573,14.892857142857142,1.2857142857142856,16.17857142857143
136,site14,1.0,7.0,23.0,1.5714285714285714,24.571428571428573,23.0,1.5714285714285714,24.571428571428573
137,site15,0.5,7.0,15.857142857142858,1.7142857142857142,17.571428571428573,7.928571428571429,0.8571428571428571,8.785714285714286
138,site16,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0
139,site17,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0
140,site18,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0
141,site20,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0
142,site21,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0
143,site22,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0
144,site23,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.0
12,centa13,0.25,7.0,16.571428571428573,0.7142857142857143,17.285714285714285,4.142857142857143,0.17857142857142858,4.321428571428571
15,gulf11,0.25,7.0,26.571428571428573,2.2857142857142856,28.857142857142858,6.642857142857143,0.5714285714285714,7.214285714285714
25,amg01,0.25,7.0,25.857142857142858,1.4285714285714286,27.285714285714285,6.464285714285714,0.35714285714285715,6.821428571428571
26,amg02,0.0,7.0,11.0,0.8571428571428571,11.857142857142858,0.0,0.0,0.0
27,amg03,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
28,amg05,0.75,7.0,16.142857142857142,9.285714285714286,25.428571428571427,12.107142857142858,6.964285714285715,19.07142857142857
29,amg06,0.1,7.0,22.428571428571427,1.4285714285714286,23.857142857142858,2.242857142857143,0.14285714285714288,2.3857142857142857
30,amg08,0.75,7.0,25.714285714285715,4.714285714285714,30.428571428571427,19.285714285714285,3.5357142857142856,22.82142857142857
31,amg09,0.0,7.0,19.285714285714285,0.14285714285714285,19.428571428571427,0.0,0.0,0.0
32,amg10,0.1,7.0,20.142857142857142,2.142857142857143,22.285714285714285,2.0142857142857142,0.2142857142857143,2.2285714285714286
33,antgr01,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
37,ant05,0.0,7.0,1.7142857142857142,0.0,1.7142857142857142,0.0,0.0,0.0
38,ant04,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
39,ant03,0.1,7.0,5.142857142857143,0.0,5.142857142857143,0.5142857142857143,0.0,0.5142857142857143
40,ant02,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
41,ant01,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
42,barkely01,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
44,barkely03,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
45,barkely04,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
46,barkely05,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
47,barkely06,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
48,barkely07,0.25,7.0,5.428571428571429,0.42857142857142855,5.857142857142857,1.3571428571428572,0.10714285714285714,1.4642857142857142
86,el01,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
88,nc01,0.25,7.0,23.571428571428573,3.0,26.571428571428573,5.892857142857143,0.75,6.642857142857143
89,nc02,0.25,7.0,18.714285714285715,1.0,19.714285714285715,4.678571428571429,0.25,4.928571428571429
90,nc03,0.1,7.0,24.714285714285715,3.142857142857143,27.857142857142858,2.4714285714285715,0.3142857142857143,2.785714285714286
91,lim01,0.1,7.0,30.285714285714285,7.714285714285714,38.0,3.0285714285714285,0.7714285714285715,3.8000000000000003
92,lim02,0.0,7.0,30.142857142857142,2.4285714285714284,32.57142857142857,0.0,0.0,0.0
93,lim03,0.25,7.0,23.857142857142858,1.7142857142857142,25.571428571428573,5.964285714285714,0.42857142857142855,6.392857142857143
94,lim04,0.1,7.0,21.571428571428573,2.857142857142857,24.428571428571427,2.1571428571428575,0.28571428571428575,2.442857142857143
95,lim05,0.0,7.0,24.142857142857142,2.5714285714285716,26.714285714285715,0.0,0.0,0.0
96,lim06,0.1,7.0,38.714285714285715,5.0,43.714285714285715,3.871428571428572,0.5,4.371428571428572
2,agb02,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
3,buff01,0.25,7.0,23.571428571428573,1.8571428571428572,25.428571428571427,5.892857142857143,0.4642857142857143,6.357142857142857
4,ep01,0.5,7.0,26.428571428571427,2.5714285714285716,29.0,13.214285714285714,1.2857142857142858,14.5
5,girra01,0.5,6.0,25.833333333333332,1.1666666666666667,27.0,12.916666666666666,0.5833333333333334,13.5
7,hshr01,1.0,7.0,24.285714285714285,3.142857142857143,27.428571428571427,24.285714285714285,3.142857142857143,27.428571428571427
8,hsf01,0.5,7.0,38.714285714285715,1.0,39.714285714285715,19.357142857142858,0.5,19.857142857142858
9,hsf02,0.5,7.0,39.42857142857143,1.1428571428571428,40.57142857142857,19.714285714285715,0.5714285714285714,20.285714285714285
10,wedo01,0.1,7.0,31.571428571428573,2.4285714285714284,34.0,3.1571428571428575,0.24285714285714285,3.4000000000000004
11,wedo03,0.25,7.0,28.714285714285715,2.2857142857142856,31.0,7.178571428571429,0.5714285714285714,7.75
20,lto04,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
21,lto05,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
49,wh01,0.0,7.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0
50,wh02,0.1,7.0,1.0,0.8571428571428571,1.8571428571428572,0.1,0.08571428571428572,0.18571428571428572
51,wh03,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
52,wh04,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
53,wh05,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
54,wh06,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
55,wh07,0.1,7.0,1.8571428571428572,0.0,1.8571428571428572,0.18571428571428572,0.0,0.18571428571428572
56,wh08,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
57,wh09,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
58,wh10,0.0,7.0,3.5714285714285716,0.14285714285714285,3.7142857142857144,0.0,0.0,0.0
59,wh11,0.0,7.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.0,0.0
60,wh12,0.0,7.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0
61,wh13,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
62,wh14,0.0,7.0,2.5714285714285716,0.0,2.5714285714285716,0.0,0.0,0.0
63,wh15,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
64,vrd16,0.1,7.0,0.14285714285714285,0.0,0.14285714285714285,0.014285714285714285,0.0,0.014285714285714285
65,vrd17,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
66,vrd18,0.0,7.0,1.1428571428571428,0.0,1.1428571428571428,0.0,0.0,0.0
67,vrd19,0.0,7.0,1.1428571428571428,0.0,1.1428571428571428,0.0,0.0,0.0
68,vrd20,0.1,7.0,1.2857142857142858,0.0,1.2857142857142858,0.1285714285714286,0.0,0.1285714285714286
69,vrd21,0.0,7.0,0.5714285714285714,0.0,0.5714285714285714,0.0,0.0,0.0
70,vrd22,0.1,7.0,2.142857142857143,0.14285714285714285,2.2857142857142856,0.2142857142857143,0.014285714285714285,0.22857142857142856
71,vrd23,0.1,7.0,3.142857142857143,0.0,3.142857142857143,0.3142857142857143,0.0,0.3142857142857143
72,vrd24,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
73,vrd25,0.1,7.0,1.0,0.0,1.0,0.1,0.0,0.1
74,vrd26,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
75,vrd27,0.0,7.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0
76,vrd28,0.0,7.0,5.142857142857143,0.0,5.142857142857143,0.0,0.0,0.0
77,vrd29,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
78,vrd30,0.25,7.0,19.0,1.7142857142857142,20.714285714285715,4.75,0.42857142857142855,5.178571428571429
79,vrd31,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
80,vrd32,0.1,7.0,0.5714285714285714,0.0,0.5714285714285714,0.05714285714285714,0.0,0.05714285714285714
81,vrd33,0.1,7.0,0.42857142857142855,0.0,0.42857142857142855,0.04285714285714286,0.0,0.04285714285714286
82,vrd34,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
83,vrd35,0.1,7.0,0.0,0.0,0.0,0.0,0.0,0.0
84,vrd36,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
85,vrd37,0.25,7.0,29.428571428571427,6.428571428571429,35.857142857142854,7.357142857142857,1.6071428571428572,8.964285714285714
97,legu01,0.1,7.0,16.428571428571427,0.7142857142857143,17.142857142857142,1.6428571428571428,0.07142857142857144,1.7142857142857144
98,legu02,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
99,legu03,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
100,legu04,0.1,7.0,24.0,0.5714285714285714,24.571428571428573,2.4000000000000004,0.05714285714285714,2.4571428571428573
101,legu05,0.1,7.0,33.857142857142854,2.2857142857142856,36.142857142857146,3.3857142857142857,0.22857142857142856,3.6142857142857148
102,legu06,0.25,7.0,23.571428571428573,0.2857142857142857,23.857142857142858,5.892857142857143,0.07142857142857142,5.964285714285714
103,legu07,0.25,7.0,28.142857142857142,1.7142857142857142,29.857142857142858,7.035714285714286,0.42857142857142855,7.464285714285714
104,legu08,0.1,7.0,30.142857142857142,4.0,34.142857142857146,3.0142857142857142,0.4,3.4142857142857146
13,centa14,0.25,7.0,19.142857142857142,1.4285714285714286,20.571428571428573,4.785714285714286,0.35714285714285715,5.142857142857143
14,gulf10,0.25,7.0,21.857142857142858,0.2857142857142857,22.142857142857142,5.464285714285714,0.07142857142857142,5.535714285714286
16,gulf12,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
17,larr15,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
18,lim08,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
19,lim09,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
34,ant09,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
35,ant07,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
36,ant06,0.25,7.0,16.428571428571427,2.142857142857143,18.571428571428573,4.107142857142857,0.5357142857142857,4.642857142857143
43,barkely02,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
87,el02,0.1,7.0,15.571428571428571,3.2857142857142856,18.857142857142858,1.5571428571428572,0.32857142857142857,1.885714285714286
