site_clean,target,fire_count,fire_min,fire_max,fire_mean,fire_sum,fire_std,fire_med,fire_major,fire_minor,burnt_enco,fire_sn_ord,fire_f,fire_tot,since_fire,fire_gap,fire_pois1_2,fire_pois1_5,fire_pois1_10,tot_an_emsi_avg_si,tot_an_drsi_avg_si,tot_avg_emse_djf,tot_avg_emse_mam,tot_avg_emse_jja,tot_avg_emse_son,tot_avg_emse_dry,tot_avg_emse_wet,tot_avg_emse_annual,tot_avg_drse_djf,tot_avg_drse_mam,tot_avg_drse_jja,tot_avg_drse_son,tot_avg_drse_dry,tot_avg_drse_wet,tot_avg_drse_annual,b1_wfp_dry_mean,b1_wfp_dry_p50,b1_wfp_dry_p99,b1_wdc_dry_major,b1_n17_dry_major,b1_hsd_mean,b1_hsd_p50,b1_hsd_p99,b1_hmc_mean,b1_hmc_p50,b1_hmc_p99,b1_hcv_mean,b1_hcv_p50,b1_hcv_p99,b1_h99_mean,b1_h99_p50,b1_h99_p99,b1_fdc_dry_major,b1_ccw_dry_mean,b1_ccw_dry_p50,b1_ccw_dry_p99,b1_dbifm_dry_mean,b1_dp1fm_dry_mean,b1_dp1fm_dry_p50,b1_dp1fm_dry_p99,b2_dp1fm_dry_mean,b2_dp1fm_dry_p50,b2_dp1fm_dry_p95,b3_dp1fm_dry_mean,b3_dp1fm_dry_p50,b3_dp1fm_dry_p99,b1_dbifm_dry_p50,b1_dbifm_dry_p99,b2_dbifm_dry_mean,b2_dbifm_dry_p50,b2_dbifm_dry_p99,b3_dbifm_dry_mean,b3_dbifm_dry_p50,b3_dbifm_dry_p99,b4_dbifm_dry_mean,b4_dbifm_dry_p50,b4_dbifm_dry_p99,b5_dbifm_dry_mean,b5_dbifm_dry_p50,b5_dbifm_dry_p99,b6_dbifm_dry_mean,b6_dbifm_dry_p50,b6_dbifm_dry_p99,dbifmdry_r32,dbifmdry_r42,dbifmdry_r43,dbifmdry_r52,dbifmdry_r53,dbifmdry_r54,dbifmdry_r62,dbifmdry_r63,dbifmdry_r64,dbifmdry_r65,dbifmdry_GSAVI,dbifmdry_GNDVI,dbifmdry_CVI,dbifmdry_NDGI,dbifmdry_RI,dbifmdry_NBR,dbifmdry_NDII,dbifmdry_GDVI,dbifmdry_MSAVI,dbifmdry_DVI,dbifmdry_SAVI,dbifmdry_NDVI,dbifmdry_MSR
jdr01.2012,21469.14,25,0,0,0,0,0,0,0,0,0,0,0.51667,6,15,5.833333333,5.087,0.269,0.003,10.80049848,11.66962283,430.5,306.9,137.6,388.3,303.8,985.2,1289,929.2,574.5,0,148,18.7,1562,1580.7,51.16666667,50,60.56,3,1,104.6958262,104.6547813,105.2617178,110.7609482,110.806778,113.5703072,146.2808393,145.0387878,152.9320049,118.2873472,118.2852631,119.9754755,3,73.58333333,73,81.67,292.1666667,2.416666667,2,3.89,48.83333333,48,54.35,47.33333333,48,51.89,294,362.81,533.5,528.5,578.23,743.9166667,739,872.17,2484,2487.5,2599.9,2056.5,2049.5,2260.81,1055.75,1092.5,1218.28,13944080,46560450,33390837,38547329,27644225,8278986,19789128,14191778,4250201,5133722,3650368,6466689,64965979,-1645768,1645768,4037864,942731,1951000,2880712,1741000,3174304,5395104,8284428
jdr02.2012,22699.39,16,0,0,0,0,0,0,0,0,0,0,0.34444,9,7,3.1,9.432,1.258,0.064,10.78585248,11.68718277,431.2,308.6,139.9,391.2,307.9,988.1,1296,943.5,554.7,0,144.4,17.7,1566.1,1583.8,41.25,40,50.25,3,1,104.7875805,104.8068657,105.3054783,108.4724703,108.3088646,110.1598682,161.1978464,161.5141144,166.5326431,116.8026075,116.9132233,118.5483627,3,62.875,62,73.1,345.25,1.461538462,1,2.88,48.07692308,47,54.8,49.15384615,50,52.88,349,388.79,588.75,575,647.84,879,862,955.27,2376.25,2380,2444.82,2363.75,2374,2486.97,1243,1246.5,1318.53,14929936,40360934,27033561,40148620,26891354,9947396,21112527,14141069,5230931,5258593,3367654,6032389,60406081,-1983640,1983640,3130699,27432,1788000,2429751,1497000,2720170,4599078,6441021
jdr03.2012,11180.4,20,0,5,0.75,15,1.785357107,0,0,5,0,0,0.18235,17,1,1.8,20.085,8.323,2.815,10.78631962,11.65870377,432.2,309.3,140.3,395.6,310.2,992.8,1303,925.8,551.8,0,160,17.4,1548.7,1566.1,31.77777778,33,39.76,3,1,103.6990339,103.6705017,104.124743,106.5205739,106.7857971,107.2196024,158.3909268,157.1536713,170.1807269,113.7422943,113.8440247,114.9232208,3,51,53,61.68,454.4444444,1.222222222,1,2,34,35,36.6,63.55555556,63,67.92,457,491.2,767.6666667,769,796.12,1120.555556,1112,1221.76,2718.222222,2709,2923.32,2664.444444,2671,2831.92,1493.222222,1517,1595.84,14596903,35408887,24257809,34708351,23777888,9802158,19451440,13325731,5493378,5604254,3449028,5598278,51745996,-1870694,1870694,2909048,100334,1951000,2463714,1598000,2712152,4163627,5578144
jdr04.2012,3742.2,25,0,0,0,0,0,0,0,0,0,0,0.62,5,21,9.533333333,3.768,0.127,0.001,10.78422203,11.63941457,430.2,304.75,133.9,384.4,297.2,981.65,1278.85,895.55,603.9,0,141.05,17.35,1545.75,1563.1,7.75,7,13,1,1,101.1101532,101.0590363,101.4701405,102.1712532,102.1611557,102.6108815,145.1702181,144.537796,150.2746056,105.0653585,104.879612,106.1131654,2,14.08333333,13,23,366.8333333,1.75,1.5,3.89,19.75,21,22.35,77.33333333,77,80,353.5,443.9,579.3333333,569,660.35,908.6666667,903.5,1006.72,1842.333333,1850.5,1906.35,3093,3071.5,3201.24,1849.25,1901.5,2002.06,15684695,31800921,20275128,53388953,34038885,16788493,31920311,20351247,10037543,5978823,2552890,5216853,49890556,-2212508,2212508,-18965,-2534954,1263000,1537948,934000,1807742,3396364,4243014
legu01.2012,2217.6,16,0,0,0,0,0,0,0,0,0,0,0.44286,7,3,3.1,6.492,0.494,0.01,10.07667959,11.96365211,402,225.9,54.1,329.9,143,878.2,1021.2,500,337.3,0,120.1,0,957.4,957.4,2.125,2,3.93,1,1,101.7710376,101.854454,102.0067432,102.8218104,102.8842773,103.1736511,161.0190006,161.8762054,167.6771167,109.5826009,109.285675,111.8546713,1,4.222222222,5,6.92,465.5555556,4,4,5.92,8.222222222,9,10.6,86.55555556,86,89.84,464,530.6,827.5555556,818,914.88,1294.111111,1328,1392.2,2344.111111,2342,2402.2,3043.444444,3048,3137.32,1922.555556,1932,2084.76,15637755,28325725,18113677,36776316,23517644,12983363,23231740,14856186,8201640,6317038,2784849,4783980,44348697,-2201792,2201792,989217,-1297568,1517000,1605156,1050000,1823339,2886201,3458965
legu04.2012,3648.393,16,0,0,0,0,0,0,0,0,0,0,0.25833,12,1,1.766666667,13.818,3.267,0.434,10.07667959,11.96365211,402,225.9,54.1,329.9,143,878.2,1021.2,500,337.3,0,120.1,0,957.4,957.4,9.583333333,9,18.56,1,3,102.4191252,102.3520851,103.0503481,104.2437592,104.0576057,106.0110537,162.4531962,162.8254623,168.8532825,109.2006957,109.8504181,112.4354945,2,17.33333333,16,32.34,487.0833333,9.333333333,9.5,14.78,17.41666667,17,24.35,71.66666667,73.5,80.56,472.5,592.12,828,832.5,911.68,1256.916667,1263.5,1427.05,2442.25,2455,2510.45,2739,2754,2931.35,1832.083333,1873.5,1991.6,15180153,29495773,19430485,33079710,21791421,11215068,22126610,14576013,7501621,6688877,2927449,4935780,44737800,-2053743,2053743,1427234,-573248,1614000,1814979,1186000,2045298,3207139,3943699
legu05.2012,4723.999,16,0,0,0,0,0,0,0,0,0,0,0.51667,6,1,3.233333333,5.087,0.269,0.003,10.07667959,11.96365211,402,225.9,54.1,329.9,143,878.2,1021.2,500,337.3,0,120.1,0,957.4,957.4,27.33333333,27,35.52,2,7,102.0971858,102.1667404,103.0168018,103.6764662,103.7717972,105.0991879,158.1656765,160.8113251,173.2172205,109.2948829,109.4481735,111.9803748,3,44.88888889,45,55.44,297.3333333,1.888888889,2,3,32,32,36.4,64.44444444,65,68,281,393.12,537.4444444,505,645.4,835.2222222,810,949.88,2103.111111,2116,2199.88,2161.111111,2163,2255.2,1152.666667,1156,1267.28,15540624,39131693,25180258,40210875,25874684,10275782,21447178,13800718,5480769,5333676,3074607,5931818,60894375,-2172012,2172012,2921659,-136023,1566000,2093748,1268000,2396070,4315861,5869981
legu06.2012,7715.4,20,0,0,0,0,0,0,0,0,0,0,0.44286,7,1,3.9,6.492,0.494,0.01,10.05933039,11.96648989,405.5,227,56.3,335.4,147.5,885.8,1033.3,500.4,336.1,0,121.4,0,957.9,957.9,53.875,55.5,65.4,3,1,102.3118768,102.294857,102.9897594,103.4730773,103.3061333,105.8895679,150.2117157,149.6274261,160.2142532,110.0300918,109.8568878,113.0366261,3,75.8125,78,85.55,289.0625,2.0625,2,4,48.625,49,51.5,47.875,47,51.85,288.5,396.8,531.4375,528.5,670.9,684.625,659.5,966.2,2576.75,2575.5,2760.95,1968.125,1885.5,2538.2,971.125,954.5,1407.1,12882512,48486417,37637393,37033988,28747490,7638013,18273551,14184773,3768798,4934265,3783767,6581912,62490344,-1259259,1259259,4524951,1338028,2045000,3153809,1892000,3435835,5803681,9406396
legu07.2012,9708.965,20,0,0,0,0,0,0,0,0,0,0,0.31,10,2,2.533333333,10.917,1.813,0.134,10.02166699,11.94278672,403,225.1,52.8,327,139.3,876.3,1015.6,483.8,332,0,121,0,936.7,936.7,47.77777778,49,52.76,3,4,103.292689,103.2526474,103.7833594,105.85043,105.7084122,107.3514819,149.7362874,149.892395,155.6050513,112.0118739,113.0763397,113.9334219,3,70.11111111,71,74.84,301.6666667,2.777777778,2,4.92,46.33333333,47,49.2,49.33333333,49,53.84,315,337.44,554.2222222,570,626.68,747.6666667,742,848.32,2348.888889,2331,2485.64,2189.222222,2149,2451.52,1134.666667,1118,1344.56,13490377,42381716,31416258,39500802,29280725,9320246,20473136,15176103,4830653,5182967,3405467,6181943,57147754,-1483474,1483474,3486502,350452,1794000,2660452,1601000,2966646,5172859,7729184
legu08.2012,4717.188,25,0,7,3.08,77,3.474708621,0,0,7,0,0,0.22143,14,1,2,16.531,5.115,1.063,9.887290713,11.93352009,400,223.3,50.2,320.4,133.3,868.5,1001.8,455.2,330.6,0,124.8,0,921.9,921.9,34.55555556,36,41.84,3,8,102.4383731,102.3254166,103.0609769,104.2470457,104.2669678,105.5178989,156.7879401,157.9541168,164.0978595,112.2002385,111.9048615,115.413808,3,54.44444444,56,62.92,339.2222222,7.333333333,6,15.52,38.11111111,39,43,53.33333333,54,59.6,334,389,651.2222222,674,717.56,910.8888889,936,1015.16,2267.111111,2216,2412.04,2258.333333,2257,2514.2,1347.666667,1347,1539.76,13987374,34813172,24888997,34678383,24792632,9961282,20694421,14795072,5944423,5967528,3061379,5538040,48677799,-1659193,1659193,2545656,19890,1616000,2200513,1357000,2489299,4271325,5783564
lim01.2012,4872.777,16,0,0,0,0,0,0,0,0,0,0,0.28182,11,1,2,12.385,2.485,0.251,10.94528871,11.73929398,410.4,257.9,103.8,256.5,214.4,807.1,1021.5,364.8,197.2,0,26.3,3.5,523.3,526.8,12.5,11.5,18.78,2,3,102.5316753,102.5109825,102.9594607,104.4270153,104.3146515,105.4239114,161.5893135,162.3868408,165.9986043,109.7573026,109.6128578,111.2960761,2,22.16666667,20.5,32.56,350.1666667,5.583333333,5.5,10.67,20.33333333,19.5,24.9,72.58333333,73,76,341.5,413.47,554.9166667,552,616.82,820.9166667,814,877.46,1763.5,1756,1862.28,2373.5,2370,2454.8,1570.333333,1584,1788.38,14793513,31779546,21482083,42772188,28912801,13459030,28298543,19129022,8904640,6616108,2478475,5217954,47102790,-1935953,1935953,579058,-1474855,1209000,1578584,943000,1865357,3650794,4662878
lim03.2012,8031.45,25,2,2,2,50,0,2,2,2,1,1,0.31,10,3,3.633333333,10.917,1.813,0.134,10.92591325,11.82456454,397.9,248.7,95.1,243.5,197.7,780.2,977.9,346.7,221.4,0.1,25.7,1.3,553.5,554.8,42.41666667,43,49.67,3,4,103.8052883,103.8294106,104.3451417,108.0188535,108.4484253,109.0821313,149.7698135,149.4083939,155.0626932,114.8070361,115.2945366,116.5297451,3,64.25,65,72.67,302.1111111,1.777777778,2,3,33.88888889,34,38,62.66666667,62,68.76,297,350.6,557,537,639.84,792.6666667,767,939.88,1981.333333,1968,2065.8,2341.555556,2298,2573.96,1398.444444,1376,1642.32,14230999,35571514,24995795,42038699,29540230,11818080,25106723,17642276,7058098,5972288,2833643,5610717,50570735,-1742031,1742031,1725363,-832948,1424000,1985566,1189000,2294481,4287775,5815381
lim04.2012,3156.902,16,2,2,2,32,0,2,2,2,1,1,0.44286,7,4,2.866666667,6.492,0.494,0.01,10.87134609,11.85733779,395,246,91.4,239,191.6,771.8,963.4,333.1,216.2,0.1,29.1,0.6,549.6,550.2,25.58333333,26,32.67,2,8,102.9314047,102.9715652,103.3114739,104.97096,104.9514771,105.5560082,163.0169525,162.4044876,169.9542439,110.8970903,110.7474136,112.4543829,3,42.5,43,52.56,390.75,7.416666667,7.5,11,19.25,20,24.45,71.91666667,70,79,390.5,424.9,712,728,773.79,1032.083333,1041.5,1119.13,1990.416667,1987,2106.85,2588.416667,2585.5,2676.24,1718.5,1722.5,1844.47,14495552,27955290,19285426,36354167,25079532,13004396,24136236,16650787,8633871,6639194,2488964,4729830,40510983,-1834862,1834862,733549,-1306247,1278000,1540220,958000,1791324,3170086,3886305
lim06.2012,5588.142,20,0,7,3.85,77,3.48245603,7,7,0,1,2,0.34444,9,1,2.633333333,9.432,1.258,0.064,10.94164035,11.77723614,407.3,257.1,102.4,252.8,211,800.9,1011.9,355.2,194.7,0,26.5,2.3,512.6,514.9,16.0625,16,25.1,2,8,102.9406128,102.8945618,103.6420025,104.522501,104.419239,105.7158463,166.653676,166.1431961,172.4690414,110.9679017,110.6955948,113.1351097,2,28.0625,28,41.8,317.875,3.3125,3,10.95,24.1875,24,31,71.1875,72.5,75.7,307.5,362.3,544.5625,536.5,610.4,796.375,785.5,933.05,1794.6875,1791.5,1856,2460.875,2442,2649.55,1585.4375,1588,1831.6,14624125,32956502,22535709,45189946,30900957,13711997,29113968,19908178,8834059,6442576,2555192,5346450,48254487,-1880597,1880597,618526,-1565585,1250000,1675559,998000,1972332,3853282,5012558
lit01.2013,25585.07,16,0,0,0,0,0,0,0,0,0,0,1.55,2,7,6.533333333,0.732,0.002,0,10.94281059,11.601492,477.5,442.7,254.6,456.6,507.8,1111.8,1619.6,777.5,506.2,2.9,,29.8,1756.8,1786.6,67.41666667,67,73.67,3,1,105.8701159,105.8797531,106.1776431,112.9546051,113.1291809,113.8826541,144.2362455,143.7924042,149.7178348,121.7298024,121.7594147,122.4852652,3,87.25,87,91.78,183.8333333,1.333333333,1,2.89,61.75,61,66.35,35.25,36,38.89,183,198.45,367.5,369.5,394.9,414.75,412,466.46,2257.833333,2228.5,2441.5,1332.75,1318.5,1509.75,558.4166667,556.5,663.05,11285714,,54438417,36265306,32133816,5902783,15195011,13463934,2473241,4189958,3718520,7202744,69374485,-601793,601793,6035524,2577320,1890000,3281569,1843000,3603833,6900037,13348856
nc02.2013,6375.6,20,0,0,0,0,0,0,0,0,0,0,3.1,1,8,8.3,0.195,0,0,9.932529996,11.71510295,299.7,149.9,29.9,107.6,76.7,474.1,550.8,212.2,97.9,1.7,52.3,9.4,436.4,445.8,7.083333333,5.5,25.68,1,2,101.1275024,101.0923157,101.3373032,102.2168624,102.1224098,102.8700613,148.9031779,145.6489716,159.1286104,105.4928487,105.4523621,105.997406,2,13,10.5,43.02,610.8333333,11.33333333,11,16,14.16666667,13.5,27.05,73.16666667,74.5,82,607.5,650.57,854.6666667,852,916.81,1088.75,1085.5,1153.36,1932.25,1932.5,2100.03,2896.166667,2895.5,2972.67,2028.166667,2029,2117.9,12738885,22608229,17747417,33886505,26600842,14988571,23730499,18628396,10496399,7002935,2076805,3869347,28821745,-1204943,1204943,-242424,-1996686,1078000,1348755,844000,1578554,2794702,3325672
nc03.2013,3603.6,20,0,0,0,0,0,0,0,0,0,0,3.1,1,9,8.133333333,0.195,0,0,9.932529996,11.71510295,299.7,149.9,29.9,107.6,76.7,474.1,550.8,212.2,97.9,1.7,52.3,9.4,436.4,445.8,3.4,3,5.92,1,6,101.2234946,101.2621536,101.4791891,102.2306934,102.3368683,102.6241708,146.8562656,147.2880554,149.3060529,105.5706338,105.7771606,106.3648303,1,4.375,4,10.72,727.4166667,20.75,20.5,24.78,6.833333333,5.5,12.35,70.91666667,72,77,721.5,773.89,1035.833333,1035,1105.49,1300.833333,1309.5,1367.81,2094.583333,2097,2269.16,3110.25,3103.5,3208.58,2298.333333,2311,2393.35,12558327,20221239,16101858,30026549,23909673,14849015,22188254,17668161,10972747,7389545,1954115,3384468,25412028,-1134904,1134904,-464481,-1952344,1059000,1225028,794000,1418871,2339423,2691608
ntaarp0001.2016,30472.44667,16,0,0,0,0,0,0,0,0,0,0,0.51667,6,1,5.666666667,5.087,0.269,0.003,10.96183604,11.41032205,462.5,372.3,168.3,380.3,381.2,1001.1,1382.3,624.6,144.6,4,190.9,101.8,729.3,831.1,57.44444444,57,63.92,3,1,105.307195,105.2820053,105.9007562,110.8003642,110.6569061,112.4793741,149.8339267,150.1372681,158.1688208,119.3914185,119.250618,121.11263,3,79.44444444,79,84.92,193.1111111,2.555555556,2,3.92,53.66666667,53,58.6,42.11111111,42,47,195,264,411.1111111,411,515.2,501.7777778,500,629.28,2293.333333,2260,2446.88,1641.222222,1623,1808.44,745.1111111,758,859.72,12205405,55783784,45704163,39921622,32708149,7156492,18124324,14849424,3249031,4539977,3664330,6960059,68007708,-986842,986842,5095458,1657346,1882000,3127925,1792000,3448807,6413744,11393565
ntaarp0002.2016,24414.13022,20,0,0,0,0,0,0,0,0,0,0,0.3875,8,1,2.8,7.949,0.82,0.027,10.96215129,11.40165423,459.3,368.4,167.5,376,378.2,991.6,1369.8,588.8,143.7,4.1,184.7,95.7,711.2,806.9,25.55555556,26,33,2,4,103.406484,103.3055954,104.135423,106.4657966,106.7267075,107.6884186,154.5445591,152.7468567,162.1142871,112.9172804,113.4019241,115.0991656,3,42.33333333,43,53,327.8888889,4,4,6.84,30.66666667,31,36,64,64,75.76,325,381.28,604.2222222,602,672.44,910.7777778,898,1038.68,2063.777778,2059,2176.36,2440.111111,2423,2759.8,1514.555556,1493,1782.2,15073556,34155940,22659510,40384332,26791509,11823517,25066201,16629255,7338753,6206912,2854441,5470566,51459640,-2021136,2021136,1534806,-837220,1459000,1883621,1153000,2169196,3878237,5056670
ntaarp0003.2016,17598.35204,20,0,5,2.5,50,2.5,2.5,0,0,0,0,0.51667,6,1,3.966666667,5.087,0.269,0.003,10.96102652,11.56385077,448.9,359.1,160.8,362.8,365.4,965.7,1331.1,451,105.2,1.3,145.5,61.5,612.9,674.4,29.91666667,31.5,41.78,2,8,104.291441,104.2526588,105.118602,108.9101766,108.8319359,111.7158543,153.4857801,152.8619308,162.6299652,115.7464364,115.2817764,119.731779,3,48.08333333,50.5,62.89,312.8333333,19.33333333,18,29.89,33.83333333,35,41.45,45.33333333,44,53.67,293,371.78,591.75,575.5,696.01,874.4166667,877,1073.78,2037.916667,2063,2248.62,1986.083333,1965,2362.71,1368.916667,1411,1605.12,14776792,34438811,23306014,33562878,22713237,9745655,23133361,15655199,6717236,6892544,2843471,5502283,50971510,-1931741,1931741,1964758,126771,1446000,1912610,1163000,2205157,3995191,5266511
ntadac0001.2013,22881.07267,16,7,7,7,112,0,7,7,7,1,2,0.18235,17,2,1.5,20.085,8.323,2.815,10.94423224,11.54075965,498.6,422.1,240.7,486,496.2,1135.1,1631.3,752.1,513.5,1.9,,98.2,1572,1670.2,26.11111111,26,29,2,4,105.1891191,104.9230423,105.9967303,109.1235953,109.3057327,110.8579068,162.4613715,163.0458679,172.9691638,118.3329103,118.4339752,120.6926288,3,43.22222222,43,47,205.5,8.5,8.5,8.99,48.5,48.5,48.95,41,41,41,205.5,233.43,373.5,373.5,392.61,495.5,495.5,513.63,1859,1859,1881.54,1687,1687,1708.56,954,954,967.72,13266399,49772423,37517659,45167336,34046418,9074771,25542169,19253280,5131791,5655009,3082135,6657706,66140416,-1405530,1405530,3217206,485054,1486000,2413116,1364000,2782159,5794393,9379256
ntadac0002.2016,20805.21761,20,0,0,0,0,0,0,0,0,0,0,0.19375,16,1,1.9,18.978,7.223,2.12,11.0104568,11.08881433,477.6,434.3,227,432.5,481.5,1101.8,1583.3,745.8,296.2,,218.2,,1100.7,1282.7,50.91666667,50.5,62.23,3,4,104.7964923,104.9704247,105.51907,110.5427799,110.9549255,111.5007738,147.8393428,147.1028519,152.9183405,118.5009747,118.9208717,119.7631835,3,73.16666667,73.5,83.34,226.5,9.666666667,10.5,13.89,48.66666667,48.5,54.7,40.25,40.5,44.78,224,273.79,433.8333333,436,468,529.4166667,535.5,596.68,1962.25,1924.5,2134.59,1677.5,1668,1827.92,967.8333333,989.5,1091,12203227,45230503,37064379,38666923,31685818,8548860,22308874,18281127,4932263,5769498,3101420,6384134,55357808,-997921,997921,3397064,783182,1529000,2511220,1433000,2869443,5752710,9258465
ntagfu0001.2012,1536.15,16,0,0,0,0,0,0,0,0,0,0,0,0,25,15.5,0,0,0,10.86920321,11.81607239,220,119.2,38.4,108.8,67.2,416.7,483.9,236.3,111.2,0,63.1,3,504.8,507.8,3.9,3,12.37,1,7,101.8550695,101.775959,102.7234252,102.6424128,102.5005646,103.9706428,166.3616257,165.4560165,173.3272879,107.8611094,107.5830421,110.6378539,1,6.333333333,3,21.68,465.3333333,12.5,12.5,14.89,9.5,7,17.15,76.5,78,80.89,474,497.12,714.0833333,729,752.45,968.6666667,983,1055.01,1648.25,1663,1710.37,2448.583333,2475.5,2614.23,1707.75,1712.5,1918.76,13565177,23082040,17015657,34289882,25277873,14855655,23915276,17629904,10360989,6974441,1903015,3954276,31292203,-1510107,1510107,-175857,-1953125,934000,1116644,680000,1339286,2599388,3047909
ntagfu0002.2012,1164.24,20,10,10,10,200,0,10,10,10,1,2,0.775,4,8,4.6,2.572,0.049,0,10.86920321,11.81607239,220,119.2,38.4,108.8,67.2,416.7,483.9,236.3,111.2,0,63.1,3,504.8,507.8,8.333333333,7.5,14.78,1,6,101.4304415,101.405838,101.7492092,102.4041004,102.4586143,102.9514351,153.5457993,153.3855362,166.886989,105.9744886,105.962265,107.4627676,1,1,1,1,449.4166667,15.41666667,14.5,21,3.916666667,4,5,79.5,81,82.89,450,488.9,801.75,806.5,849.45,1171.916667,1169.5,1261.47,1869,1851,1996.86,2583.333333,2605,2729.53,1771.25,1741.5,1970,14616984,23311506,15948233,32221183,22043661,13822008,22092298,15114129,9476993,6856452,2088657,4000000,34111527,-1876268,1876268,269231,-1603774,1068000,1105046,698000,1302239,2296053,2633573
ntagfu0003.2012,4736.013333,16,0,0,0,0,0,0,0,0,0,0,3.1,1,11,8.033333333,0.195,0,0,10.93302073,11.76266997,238.9,132.5,43.2,126.8,80,459.3,539.3,254.3,125.2,0,68.8,10,513.4,523.4,7.75,6.5,17.67,1,11,102.8344275,102.7952766,104.4047729,104.4782302,104.3627434,106.8890593,161.300415,162.5766144,168.2350034,109.6671289,108.8132172,114.6271396,2,14.08333333,12,30.56,384.4166667,33.5,35,36,15.33333333,14.5,23.9,49.58333333,48.5,56.78,392,426.89,657.9166667,657,736.59,941.8333333,948.5,1051.95,1577.166667,1568,1644.56,1935.75,1947,2062.62,1482.25,1467.5,1620.24,14315389,23972134,16745709,29422419,20552999,12273592,22529449,15737922,9398182,7657239,1907658,4118174,34378789,-1777222,1777222,310559,-1019362,920000,1050977,636000,1268955,2525814,2945566
